word,nr. of tokens,tokens,word score
shortage,2,short_age,-17.144882202148438
shortages,2,short_ages,-19.14453125
shorten,2,short_en,-18.179443359375
shortened,2,short_ened,-17.559783935546875
shortening,2,short_ening,-18.073410034179688
shorter,2,sh_orter,-18.05331802368164
shortest,2,short_est,-17.395870208740234
shortly,2,short_ly,-17.843914031982422
shorts,2,sh_orts,-18.154624938964844
shortsighted,4,sh_orts_ight_ed,-23.244953155517578
shot,1,shot,-14.535148620605469
shotgun,2,shot_gun,-15.946846008300781
shots,1,shots,-17.399185180664062
shotshells,3,shots_hell_s,-22.888927459716797
shouders,3,sh_oud_ers,-28.309377670288086
should,1,should,-12.969367980957031
shoulder,2,sh_oulder,-17.479949951171875
shouldered,2,should_ered,-19.735172271728516
shouldering,2,should_ering,-19.159122467041016
shoulders,2,should_ers,-19.56045150756836
shoup,2,sh_oup,-21.146411895751953
shout,2,sh_out,-15.500709533691406
shouted,2,sh_outed,-20.174419403076172
shouting,2,sh_outing,-17.965709686279297
shouts,2,sh_outs,-18.49932861328125
shoved,2,sh_oved,-19.39617156982422
shovel,3,sh_o_vel,-17.621932983398438
shoveled,4,sh_o_vel_ed,-23.172595977783203
shoving,2,sh_oving,-19.018360137939453
show,1,show,-12.2244873046875
showdown,2,show_down,-18.235244750976562
showed,2,sh_owed,-18.847537994384766
shower,2,sh_ower,-17.48531723022461
showered,2,sh_owered,-20.907047271728516
showering,3,sh_ower_ing,-20.9874267578125
showers,2,sh_owers,-19.340927124023438
showing,2,sh_owing,-16.080734252929688
showings,2,show_ings,-19.537052154541016
showman,2,show_man,-20.903717041015625
showmanship,2,show_manship,-22.078243255615234
shown,1,shown,-14.484603881835938
shows,1,shows,-13.353851318359375
showy,2,show_y,-18.806442260742188
shrank,2,shr_ank,-21.541584014892578
shred,2,sh_red,-17.2154541015625
shredder,3,sh_red_der,-18.896297454833984
shreds,3,sh_red_s,-20.762351989746094
shrewdly,4,sh_rew_d_ly,-22.793548583984375
shriek,3,sh_ri_ek,-20.413494110107422
shrieking,3,sh_ri_eking,-22.093536376953125
shrill,2,sh_rill,-18.97132110595703
shrilling,2,shr_illing,-25.46490478515625
shrilly,2,shr_illy,-25.152610778808594
shrimp,2,sh_rimp,-17.598663330078125
shrine,2,sh_rine,-18.244232177734375
shrines,2,shr_ines,-21.034751892089844
shrink,2,shr_ink,-17.013561248779297
